immagine,url immagine,Nome,Cognome,partito,descrizione,controllato,twitter,twitter link,tweets,twitter verified,incarico,location,facebook
,http://pbs.twimg.com/profile_images/1761921978/adornato_gubbio_low_normal.jpg,Ferdinando,Adornato,AP-CpE-NCD,,NO,adornatoliberal,https://twitter.com/adornatoliberal,327,False,Deputato,,
,n/a,Donatella,Agostinelli,M5S,n/a,NO,n/a,https://twitter.com/n/a,,n/a,Deputato,n/a,
,http://pbs.twimg.com/profile_images/562415424210735105/M4-Q1fSi_normal.jpeg,Luciano,Agostini,PD,"Economista e Doutor em Economia. Empresário atuante em administração de carteiras de investimentos, seguros e fomento mercantil.É nadador Master da Swimex.",NO,LLMDAGOSTINI,https://twitter.com/LLMDAGOSTINI,72,False,Deputato,Curitiba,
,n/a,Luisella,Albanella,PD,n/a,NO,n/a,https://twitter.com/n/a,,n/a,Deputato,n/a,
,n/a,Ferdinando,Alberti,M5S,n/a,NO,n/a,https://twitter.com/n/a,,n/a,Deputato,n/a,
,http://pbs.twimg.com/profile_images/1606521239/tea_albini_pd_normal.jpg,Tea,Albini,Art.1-MDP,,NO,TeaAlbini,https://twitter.com/TeaAlbini,473,False,Deputato,,
,http://pbs.twimg.com/profile_images/600407635876323330/3YnMyyJq_normal.jpg,Daniel,Alfreider,Misto,,NO,AlfreiderDaniel,https://twitter.com/AlfreiderDaniel,130,False,Deputato,,
,n/a,Trifone,Altieri,Misto,n/a,NO,n/a,https://twitter.com/n/a,,n/a,Deputato,n/a,
,http://pbs.twimg.com/profile_images/378800000070493864/619b1c1ef7fe60d9847dc93249e07a5b_normal.jpeg,Maria,Amato,PD,metal and design // design and metal // associate creative director gsd&m,NO,missmariaatl,https://twitter.com/missmariaatl,1073,False,Deputato,"Austin, Texas",
,http://pbs.twimg.com/profile_images/919983172888260608/RH5bvPjm_normal.jpg,Vincenzo,Amendola,PD,"Laureato in Ingegneria Gestionale alla ""Federico II"" di Napoli - Giornalista pubblicista",NO,vincamendola,https://twitter.com/vincamendola,385,False,Deputato,"Roma, Lazio",
,n/a,Sesa,Amici,PD,n/a,NO,n/a,https://twitter.com/n/a,,n/a,Deputato,n/a,
,http://pbs.twimg.com/profile_images/477490861258072064/6eCLxKC3_normal.jpeg,Antonio,Angelucci,FI-PdL,Pro Cycling UAE Team Emirates doctor,NO,DocAngelucci,https://twitter.com/DocAngelucci,1229,False,Deputato,Roma,
,n/a,Maria,Antezza,PD,n/a,NO,n/a,https://twitter.com/n/a,,n/a,Deputato,n/a,
,http://pbs.twimg.com/profile_images/487720397438472192/r0CFw3No_normal.jpeg,Michele,Anzaldi,PD,,NO,MicheleAnzaldi,https://twitter.com/MicheleAnzaldi,11,False,Deputato,New York,
,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,Bruno,Archi,FI-PdL,,NO,archi_bruno,https://twitter.com/archi_bruno,,False,Deputato,,
,n/a,Angelo,Attaguile,Lega,n/a,NO,n/a,https://twitter.com/n/a,,n/a,Deputato,n/a,
,http://pbs.twimg.com/profile_images/430686946830991360/osMuQf-C_normal.jpeg,Ernesto,Auci,SC-ALA CLP-MAIE,,NO,EAuci,https://twitter.com/EAuci,177,False,Deputato,,
,n/a,Maurizio,Baradello,n/a,n/a,NO,n/a,https://twitter.com/n/a,,n/a,Deputato,n/a,
,n/a,Massimo Enrico,Baroni,M5S,n/a,NO,n/a,https://twitter.com/n/a,,n/a,Deputato,n/a,
,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,Demetrio,Battaglia,PD,,NO,demibattaglia,https://twitter.com/demibattaglia,,False,Deputato,,
,http://pbs.twimg.com/profile_images/801719300365160449/q3T4pvBs_normal.jpg,Marina,Berlinghieri,PD,,NO,M_Berlinghieri,https://twitter.com/M_Berlinghieri,2071,False,Deputato,,
,http://pbs.twimg.com/profile_images/712551806061174785/oVDnv9nD_normal.jpg,Maurizio,Bernardo,PD,http://t.co/nj9mmZ1Jpz,NO,liberidifare,https://twitter.com/liberidifare,442,False,Deputato,"Milano, Lombardia",
,http://pbs.twimg.com/profile_images/601190779/biasotti_avatar_normal.jpg,Sandro,Biasotti,FI-PdL,,NO,sandrobiasotti,https://twitter.com/sandrobiasotti,33,False,Deputato,,
,http://pbs.twimg.com/profile_images/921321611801833473/LuMAHEbL_normal.jpg,Caterina,Bini,PD,,NO,caterinabini,https://twitter.com/caterinabini,2688,False,Deputato,Segretaria d'aula gruppo PD,
,n/a,Franca Maria Grazia,Biondelli,PD,n/a,NO,n/a,https://twitter.com/n/a,,n/a,Deputato,n/a,
,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,Gianpiero,Bocci,PD,,NO,giankava56,https://twitter.com/giankava56,,False,Deputato,,
,http://pbs.twimg.com/profile_images/682681871734452224/5gozi2-i_normal.jpg,Antonio,Boccuzzi,PD,"Filosofo, teologo, parafulmine, spugnetta per francobolli, cinefilo, cinofilo, critico musicale, mangione professionista",NO,Antonio_Boccuzz,https://twitter.com/Antonio_Boccuzz,26,False,Deputato,Via roma 34 volla (na) 80040,
,http://pbs.twimg.com/profile_images/659638989184483328/yFAV4y1u_normal.jpg,Paola,Boldrini,PD,Psychologist Psychotherapist,NO,mpaola_boldrini,https://twitter.com/mpaola_boldrini,1137,False,Deputato,"Modena, Emilia Romagna",
,n/a,Alberto,Bombassei,Misto,n/a,NO,n/a,https://twitter.com/n/a,,n/a,Deputato,n/a,
,http://pbs.twimg.com/profile_images/912014584613089281/jQswC-JI_normal.jpg,Simona,Bonafe,n/a,europarlamentare Pd https://t.co/6LGpP6BeMW,NO,simonabonafe,https://twitter.com/simonabonafe,1638,True,Deputato,,
,n/a,Fulvio,Bonavitacola,n/a,n/a,NO,n/a,https://twitter.com/n/a,,n/a,Deputato,n/a,
,http://pbs.twimg.com/profile_images/775047168293867520/eFtW3PPK_normal.jpg,Francesca,Bonomo,PD,♡ 7-16-13 ♡ UCSC,NO,franny_cesca,https://twitter.com/franny_cesca,5420,False,Deputato,,
,,Enrico,Borghi,PD,,NO,n/a,https://twitter.com/n/a,,False,Deputato,,
,n/a,Ilaria,Borletti Buitoni,PD,n/a,NO,n/a,https://twitter.com/n/a,,n/a,Deputato,n/a,
,http://pbs.twimg.com/profile_images/1828961055/18361_1265726615745_1607161430_667166_3891221_n_normal.jpg,Antonino,Bosco,AP-CpE-NCD,,NO,antonio870727,https://twitter.com/antonio870727,1,False,Deputato,,
,http://pbs.twimg.com/profile_images/542342103960133632/acFTjBhb_normal.jpeg,Luisa,Bossa,Art.1-MDP,Dio conta le lacrime delle donne (Caballah),NO,LuisaBlive,https://twitter.com/LuisaBlive,11632,False,Deputato,Roma,
,http://pbs.twimg.com/profile_images/1110019325/Umberto2_normal.jpg,Umberto,Bossi,Lega,https://t.co/6mETLHRxGZ,NO,bossianimator,https://twitter.com/bossianimator,41,False,Deputato,US,
,http://pbs.twimg.com/profile_images/849269480014446593/-xMIAK2g_normal.jpg,Matteo,Bragantini,Misto,,NO,m_bragantini,https://twitter.com/m_bragantini,237,False,Deputato,,
,http://pbs.twimg.com/profile_images/565567158227570688/BaUBWMgn_normal.jpeg,Paola,Bragantini,PD,,NO,PaolaBragantini,https://twitter.com/PaolaBragantini,170,False,Deputato,,
,n/a,Michela Vittoria,Brambilla,FI-PdL,n/a,NO,n/a,https://twitter.com/n/a,,n/a,Deputato,n/a,https://www.facebook.com/michelavittoriabrambilla
,http://pbs.twimg.com/profile_images/1140636498/ridotto256_normal.jpg,Giorgio,Brandolin,PD,"Borderline geek with an insane passion for life, communication and graphics",NO,pgbrandolin,https://twitter.com/pgbrandolin,682,False,Deputato,Treviso,
,n/a,Gianclaudio,Bressa,PD,n/a,NO,n/a,https://twitter.com/n/a,,n/a,Deputato,n/a,
,http://pbs.twimg.com/profile_images/534767735444496384/33V1igUG_normal.jpeg,Marco,Brugnerotto,M5S,Portavoce M5S eletto alla Camera,NO,MarcoBrugne,https://twitter.com/MarcoBrugne,28,False,Deputato,,
,http://pbs.twimg.com/profile_images/919944187432325121/goN8BcF-_normal.jpg,Franco,Bruno,Misto,"I'm no cry baby, but you make me cry lately @jodek_olowiu  mój aniołek 💫 james franco demi breezy bruno 5sos shawn tay ari lm maroon5 dua bea sel camila nick",NO,bbyxfinesse,https://twitter.com/bbyxfinesse,10163,False,Deputato,demi's heart,
,n/a,Giovanni Mario Salvino,Burtone,PD,n/a,NO,n/a,https://twitter.com/n/a,,n/a,Deputato,n/a,
,http://pbs.twimg.com/profile_images/378800000537680659/ee2c8275f2ee4b5905de9364d798d113_normal.jpeg,Raffaele,Calabro,n/a,,NO,raffaelecalabro,https://twitter.com/raffaelecalabro,11,False,Deputato,,
,http://pbs.twimg.com/profile_images/3617452620/80d7febe269b32eb3736f177807fe73f_normal.jpeg,Emanuele,Cani,PD,,NO,emacani,https://twitter.com/emacani,235,False,Deputato,Deputato del Partito Democrato,
,http://pbs.twimg.com/profile_images/1700066890/image_normal.jpg,Roberto,Capelli,DS-CD,,NO,sostof,https://twitter.com/sostof,10,False,Deputato,,
,http://pbs.twimg.com/profile_images/418992216947048448/TdmNb2tz_normal.jpeg,Angelo,Capodicasa,Art.1-MDP,17. Rossoneri per sempre ...  El tiempo de dios es perfecto. †,NO,AngeloCapodicas,https://twitter.com/AngeloCapodicas,3,False,Deputato,,
,http://pbs.twimg.com/profile_images/807429588141809664/toHWuvY-_normal.jpg,Salvatore,Capone,PD,DJ for solitude studios and emcee legend,NO,DJBIGSAL,https://twitter.com/DJBIGSAL,652,False,Deputato,"Vancouver, British Columbia",
,http://pbs.twimg.com/profile_images/849895211232833536/N8lVK40r_normal.jpg,Ilaria,Capua,n/a,"Fake news survivor.
Professor at the University of Florida. #ricomincioda50",NO,ilariacapua,https://twitter.com/ilariacapua,2589,False,Deputato,,
,http://pbs.twimg.com/profile_images/638577286942429184/sTAy1iZ7_normal.jpg,Daniela,Cardinale,PD,,NO,giannabelievers,https://twitter.com/giannabelievers,1,False,Deputato,venezuela,
,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,Renzo,Carella,PD,,NO,renzocarella,https://twitter.com/renzocarella,143,False,Deputato,,
,n/a,Maria Rosaria,Carfagna,FI-PdL,n/a,NO,n/a,https://twitter.com/n/a,,n/a,Deputato,n/a,https://www.facebook.com/CarfagnaMara
,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,Mara,Carocci,PD,,NO,maracarocci,https://twitter.com/maracarocci,,False,Deputato,,
,http://pbs.twimg.com/profile_images/2379090722/86hta3tzl6x1bthvn19d_normal.png,Marco,Carra,PD,Non ho nulla di nuovo da dire. Non so cosa ci faccio qui.,NO,carra89,https://twitter.com/carra89,1173,False,Deputato,"Mestre, Venezia",
,http://pbs.twimg.com/profile_images/378800000374651520/c5acb6ca200a4a63a45d5b9cfaf2e5f5_normal.jpeg,Piergiorgio,Carrescia,PD,,NO,PgCarrescia,https://twitter.com/PgCarrescia,301,False,Deputato,,
,http://pbs.twimg.com/profile_images/915746365036204037/fyVrNpim_normal.jpg,Mario,Caruso,DS-CD,Mario Culina loves ripskis,NO,mattcaruso19,https://twitter.com/mattcaruso19,6733,False,Deputato,"Sault Ste. Marie, ON",
,n/a,Ezio Primo,Casati,PD,n/a,NO,n/a,https://twitter.com/n/a,,n/a,Deputato,n/a,
,n/a,Luigi,Casero,AP-CpE-NCD,n/a,NO,n/a,https://twitter.com/n/a,,n/a,Deputato,n/a,
,http://pbs.twimg.com/profile_images/464073176712888320/idxOAkGg_normal.jpeg,Franco,Cassano,PD,,NO,cassanofranco4,https://twitter.com/cassanofranco4,1,False,Deputato,,
,n/a,Giuseppina,Castiello,Lega,n/a,NO,n/a,https://twitter.com/n/a,,n/a,Deputato,n/a,
,http://pbs.twimg.com/profile_images/905431068962115584/CwVe5MEW_normal.jpg,Giuseppe,Castiglione,AP-CpE-NCD,"UX/UI Designer & Front-end Developer. 
Fun fact: The lashes on my left eye are white... I don't know why...",NO,giuseppe_uk,https://twitter.com/giuseppe_uk,263,False,Deputato,Hertfordshire,
,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,Antonio,Castricone,PD,,NO,tonicastricone,https://twitter.com/tonicastricone,2,False,Deputato,,
,http://pbs.twimg.com/profile_images/828162856122249216/DnPzlj1t_normal.jpg,Marco,Causi,PD,"Sono un fottuto microfomane!!
https://t.co/KxfZB4sgZw…",NO,MarcoLeeCausi,https://twitter.com/MarcoLeeCausi,1060,False,Deputato,Busto Garolfo (Mi),
,http://pbs.twimg.com/profile_images/351034893/foto_stampa1_normal.jpg,Andrea,Causin,FI-PdL,,NO,andreacausin,https://twitter.com/andreacausin,106,False,Deputato,"Martellago, Venezia",
,http://pbs.twimg.com/profile_images/806879055429730304/Gr9kHNNF_normal.jpg,Lorenzo,Cesa,n/a,"Segretario nazionale @Udcita -  Sposato, due figli. Amo l’Italia da nord a sud. Sito: https://t.co/bE2zOw5heW",NO,L_Cesa,https://twitter.com/L_Cesa,1504,False,Deputato,Roma,
,http://pbs.twimg.com/profile_images/776496749233995776/qEX47l2x_normal.jpg,Gianfranco,Chiarelli,Misto,"Avvocato patrocinante in cassazione, parlamentare della Repubblica Italiana.",NO,GianfrancoChia2,https://twitter.com/GianfrancoChia2,536,False,Deputato,"Martina Franca, Puglia",
,http://pbs.twimg.com/profile_images/3121104788/373589063332500e9b6222aa1be5fb44_normal.jpeg,Luciano,Cimmino,n/a,Luciano Cimmino Circoscrizione Campania 1 con Monti per l'Italia.,NO,luciano_cimmino,https://twitter.com/luciano_cimmino,219,False,Deputato,,
,n/a,Matteo,Colaninno,PD,n/a,NO,n/a,https://twitter.com/n/a,,n/a,Deputato,n/a,
,http://pbs.twimg.com/profile_images/673968765600710659/PJnhdMZv_normal.jpg,Paolo,Coppola,PD,"Business Lawyer @StudioLegaleLCA. Constantly looking at things in a different, often sarcastic, way.",NO,gp_coppola,https://twitter.com/gp_coppola,451,False,Deputato,,
